mac,ip,hostname,username
00:4f:49:b1:e8:c3,10.9.10.102,ctldl,hobart.gunnarsson
14:18:77:0f:c6:9e,10.9.10.9,,hobart.gunnarsson
00:a2:89:12:d3:d7,23.1.237.201,,
20:1a:06:68:23:49,10.9.10.103,,
